ego_lat,ego_lng,f_c,f_1,f_2,dist_to_dest,dist_to_c,dist_to_a1,dist_to_a2
42.8721,-105.757,1.35754e+10,1.00463e+07,0,892.911,195.082,251.065,910.508
42.8722,-105.758,1.35896e+10,1.0047e+07,0,892.84,195.013,251.057,910.441
42.8723,-105.758,1.36039e+10,1.00477e+07,0,892.768,194.945,251.048,910.373
42.8724,-105.759,1.36183e+10,1.00484e+07,0,892.696,194.877,251.04,910.305
42.8725,-105.76,1.36326e+10,1.00491e+07,0,892.624,194.808,251.031,910.238
42.8725,-105.761,1.36469e+10,1.00498e+07,0,892.552,194.74,251.022,910.17
42.8726,-105.762,1.36613e+10,1.00504e+07,0,892.481,194.672,251.014,910.102
42.8727,-105.763,1.36757e+10,1.00511e+07,0,892.409,194.603,251.005,910.035
42.8728,-105.764,1.36901e+10,1.00518e+07,0,892.337,194.535,250.997,909.967
42.8729,-105.765,1.37045e+10,1.00525e+07,0,892.265,194.467,250.988,909.899
42.873,-105.765,1.3719e+10,1.00532e+07,0,892.194,194.398,250.979,909.832
42.8731,-105.766,1.37335e+10,1.00539e+07,0,892.122,194.33,250.971,909.764
42.8732,-105.767,1.3748e+10,1.00546e+07,0,892.05,194.262,250.962,909.696
42.8733,-105.768,1.37625e+10,1.00553e+07,0,891.978,194.194,250.954,909.629
42.8734,-105.769,1.3777e+10,1.00559e+07,0,891.906,194.125,250.945,909.561
42.8735,-105.77,1.37916e+10,1.00566e+07,0,891.835,194.057,250.937,909.494
42.8735,-105.771,1.38061e+10,1.00573e+07,0,891.763,193.989,250.928,909.426
42.8736,-105.772,1.38207e+10,1.0058e+07,0,891.691,193.92,250.919,909.358
42.8737,-105.772,1.38353e+10,1.00587e+07,0,891.619,193.852,250.911,909.291
42.8738,-105.773,1.385e+10,1.00594e+07,0,891.547,193.784,250.902,909.223
42.8739,-105.774,1.38646e+10,1.00601e+07,0,891.476,193.715,250.894,909.155
42.874,-105.775,1.38793e+10,1.00607e+07,0,891.404,193.647,250.885,909.088
42.8741,-105.776,1.3894e+10,1.00614e+07,0,891.332,193.579,250.877,909.02
42.8742,-105.777,1.39087e+10,1.00621e+07,0,891.26,193.511,250.868,908.953
42.8743,-105.778,1.39234e+10,1.00628e+07,0,891.189,193.442,250.86,908.885
42.8744,-105.779,1.39382e+10,1.00635e+07,0,891.117,193.374,250.851,908.817
42.8745,-105.779,1.3953e+10,1.00642e+07,0,891.045,193.306,250.843,908.75
42.8745,-105.78,1.39678e+10,1.00649e+07,0,890.973,193.237,250.834,908.682
42.8746,-105.781,1.39826e+10,1.00655e+07,0,890.902,193.169,250.825,908.614
42.8747,-105.782,1.39974e+10,1.00662e+07,0,890.83,193.101,250.817,908.547
42.8748,-105.783,1.40123e+10,1.00669e+07,0,890.758,193.033,250.808,908.479
42.8749,-105.784,1.40272e+10,1.00676e+07,0,890.686,192.964,250.8,908.412
42.875,-105.785,1.40421e+10,1.00683e+07,0,890.615,192.896,250.791,908.344
42.8751,-105.786,1.4057e+10,1.0069e+07,0,890.543,192.828,250.783,908.276
42.8752,-105.786,1.40719e+10,1.00696e+07,0,890.471,192.759,250.774,908.209
42.8753,-105.787,1.40869e+10,1.00703e+07,0,890.399,192.691,250.766,908.141
42.8753,-105.788,1.41019e+10,1.0071e+07,0,890.328,192.623,250.757,908.074
42.8754,-105.789,1.41169e+10,1.00717e+07,0,890.256,192.555,250.749,908.006
42.8755,-105.79,1.41319e+10,1.00724e+07,0,890.184,192.486,250.74,907.939
42.8756,-105.791,1.4147e+10,1.00731e+07,0,890.113,192.418,250.732,907.871
42.8757,-105.792,1.4162e+10,1.00737e+07,0,890.041,192.35,250.723,907.803
42.8758,-105.792,1.41771e+10,1.00744e+07,0,889.969,192.281,250.715,907.736
42.8759,-105.793,1.41922e+10,1.00751e+07,0,889.897,192.213,250.706,907.668
42.876,-105.794,1.42074e+10,1.00758e+07,0,889.826,192.145,250.698,907.601
42.876,-105.795,1.42225e+10,1.00765e+07,0,889.754,192.077,250.689,907.533
42.8761,-105.796,1.42377e+10,1.00771e+07,0,889.682,192.008,250.681,907.465
42.8762,-105.797,1.42529e+10,1.00778e+07,0,889.611,191.94,250.672,907.398
42.8763,-105.798,1.42681e+10,1.00785e+07,0,889.539,191.872,250.664,907.33
42.8764,-105.799,1.42833e+10,1.00792e+07,0,889.467,191.804,250.656,907.263
42.8765,-105.799,1.42986e+10,1.00799e+07,0,889.395,191.735,250.647,907.195
42.8766,-105.8,1.43139e+10,1.00806e+07,0,889.324,191.667,250.639,907.128
42.8767,-105.801,1.43292e+10,1.00812e+07,0,889.252,191.599,250.63,907.06
42.8767,-105.802,1.43445e+10,1.00819e+07,0,889.18,191.531,250.622,906.992
42.8768,-105.803,1.43599e+10,1.00826e+07,0,889.109,191.462,250.613,906.925
42.8769,-105.804,1.43752e+10,1.00833e+07,0,889.037,191.394,250.605,906.857
42.877,-105.805,1.43906e+10,1.0084e+07,0,888.965,191.326,250.596,906.79
42.8771,-105.806,1.4406e+10,1.00846e+07,0,888.894,191.258,250.588,906.722
42.8772,-105.806,1.44215e+10,1.00853e+07,0,888.822,191.189,250.579,906.655
42.8773,-105.807,1.44369e+10,1.0086e+07,0,888.75,191.121,250.571,906.587
42.8774,-105.808,1.44524e+10,1.00867e+07,0,888.678,191.053,250.563,906.52
42.8774,-105.809,1.44679e+10,1.00874e+07,0,888.607,190.985,250.554,906.452
42.8775,-105.81,1.44834e+10,1.0088e+07,0,888.535,190.916,250.546,906.384
42.8776,-105.811,1.4499e+10,1.00887e+07,0,888.463,190.848,250.537,906.317
42.8777,-105.812,1.45145e+10,1.00894e+07,0,888.392,190.78,250.529,906.249
42.8778,-105.813,1.45301e+10,1.00901e+07,0,888.32,190.712,250.52,906.182
42.8779,-105.813,1.45457e+10,1.00907e+07,0,888.248,190.643,250.512,906.114
42.878,-105.814,1.45614e+10,1.00914e+07,0,888.177,190.575,250.504,906.047
42.878,-105.815,1.4577e+10,1.00921e+07,0,888.105,190.507,250.495,905.979
42.8781,-105.816,1.45927e+10,1.00928e+07,0,888.033,190.439,250.487,905.912
42.8782,-105.817,1.46084e+10,1.00935e+07,0,887.962,190.37,250.478,905.844
42.8783,-105.818,1.46241e+10,1.00941e+07,0,887.89,190.302,250.47,905.777
42.8784,-105.819,1.46399e+10,1.00948e+07,0,887.818,190.234,250.462,905.709
42.8785,-105.82,1.46556e+10,1.00955e+07,0,887.747,190.166,250.453,905.642
42.8785,-105.82,1.46714e+10,1.00962e+07,0,887.675,190.097,250.445,905.574
42.8786,-105.821,1.46872e+10,1.00968e+07,0,887.603,190.029,250.436,905.507
42.8787,-105.822,1.47031e+10,1.00975e+07,0,887.532,189.961,250.428,905.439
42.8788,-105.823,1.47189e+10,1.00982e+07,0,887.46,189.893,250.42,905.372
42.8789,-105.824,1.47348e+10,1.00989e+07,0,887.389,189.824,250.411,905.304
42.879,-105.825,1.47507e+10,1.00995e+07,0,887.317,189.756,250.403,905.237
42.8791,-105.826,1.47666e+10,1.01002e+07,0,887.245,189.688,250.395,905.169
42.8791,-105.827,1.47826e+10,1.01009e+07,0,887.174,189.62,250.386,905.102
42.8792,-105.827,1.47985e+10,1.01016e+07,0,887.102,189.552,250.378,905.034
42.8793,-105.828,1.48145e+10,1.01022e+07,0,887.03,189.483,250.369,904.967
42.8794,-105.829,1.48305e+10,1.01029e+07,0,886.959,189.415,250.361,904.899
42.8795,-105.83,1.48466e+10,1.01036e+07,0,886.887,189.347,250.353,904.832
42.8796,-105.831,1.48626e+10,1.01043e+07,0,886.816,189.279,250.344,904.764
42.8796,-105.832,1.48787e+10,1.01049e+07,0,886.744,189.21,250.336,904.697
42.8797,-105.833,1.48948e+10,1.01056e+07,0,886.672,189.142,250.328,904.629
42.8798,-105.833,1.49109e+10,1.01063e+07,0,886.601,189.074,250.319,904.562
42.8799,-105.834,1.49271e+10,1.0107e+07,0,886.529,189.006,250.311,904.494
42.88,-105.835,1.49433e+10,1.01076e+07,0,886.457,188.938,250.303,904.427
42.8801,-105.836,1.49595e+10,1.01083e+07,0,886.386,188.869,250.294,904.359
42.8801,-105.837,1.49757e+10,1.0109e+07,0,886.314,188.801,250.286,904.292
42.8802,-105.838,1.49919e+10,1.01097e+07,0,886.243,188.733,250.278,904.224
42.8803,-105.839,1.50082e+10,1.01103e+07,0,886.171,188.665,250.269,904.157
42.8804,-105.84,1.50245e+10,1.0111e+07,0,886.099,188.596,250.261,904.089
42.8805,-105.84,1.50408e+10,1.01117e+07,0,886.028,188.528,250.253,904.022
42.8806,-105.841,1.50571e+10,1.01123e+07,0,885.956,188.46,250.244,903.954
42.8806,-105.842,1.50735e+10,1.0113e+07,0,885.885,188.392,250.236,903.887
42.8807,-105.843,1.50899e+10,1.01137e+07,0,885.813,188.324,250.228,903.819
42.8808,-105.844,1.51063e+10,1.01144e+07,0,885.742,188.255,250.219,903.752
42.8809,-105.845,1.51227e+10,1.0115e+07,0,885.67,188.187,250.211,903.684
42.881,-105.846,1.51392e+10,1.01157e+07,0,885.598,188.119,250.203,903.617
42.881,-105.847,1.51557e+10,1.01164e+07,0,885.527,188.051,250.194,903.55
42.8811,-105.847,1.51722e+10,1.0117e+07,0,885.455,187.983,250.186,903.482
42.8812,-105.848,1.51887e+10,1.01177e+07,0,885.384,187.914,250.178,903.415
42.8813,-105.849,1.52052e+10,1.01184e+07,0,885.312,187.846,250.17,903.347
42.8814,-105.85,1.52218e+10,1.01191e+07,0,885.241,187.778,250.161,903.28
42.8814,-105.851,1.52384e+10,1.01197e+07,0,885.169,187.71,250.153,903.212
42.8815,-105.852,1.5255e+10,1.01204e+07,0,885.097,187.642,250.145,903.145
42.8816,-105.853,1.52717e+10,1.01211e+07,0,885.026,187.573,250.136,903.077
42.8817,-105.854,1.52884e+10,1.01217e+07,0,884.954,187.505,250.128,903.01
42.8818,-105.854,1.5305e+10,1.01224e+07,0,884.883,187.437,250.12,902.943
42.8818,-105.855,1.53218e+10,1.01231e+07,0,884.811,187.369,250.112,902.875
42.8819,-105.856,1.53385e+10,1.01237e+07,0,884.74,187.301,250.103,902.808
42.882,-105.857,1.53553e+10,1.01244e+07,0,884.668,187.232,250.095,902.74
42.8821,-105.858,1.53721e+10,1.01251e+07,0,884.597,187.164,250.087,902.673
42.8822,-105.859,1.53889e+10,1.01257e+07,0,884.525,187.096,250.079,902.606
42.8822,-105.86,1.54057e+10,1.01264e+07,0,884.454,187.028,250.07,902.538
42.8823,-105.861,1.54226e+10,1.01271e+07,0,884.382,186.96,250.062,902.471
42.8824,-105.861,1.54395e+10,1.01278e+07,0,884.311,186.891,250.054,902.403
42.8825,-105.862,1.54564e+10,1.01284e+07,0,884.239,186.823,250.046,902.336
42.8826,-105.863,1.54733e+10,1.01291e+07,0,884.168,186.755,250.037,902.268
42.8826,-105.864,1.54903e+10,1.01298e+07,0,884.096,186.687,250.029,902.201
42.8827,-105.865,1.55073e+10,1.01304e+07,0,884.024,186.619,250.021,902.134
42.8828,-105.866,1.55243e+10,1.01311e+07,0,883.953,186.551,250.013,902.066
42.8829,-105.867,1.55413e+10,1.01318e+07,0,883.881,186.482,250.005,901.999
42.883,-105.867,1.55584e+10,1.01324e+07,0,883.81,186.414,249.996,901.932
42.883,-105.868,1.55754e+10,1.01331e+07,0,883.738,186.346,249.988,901.864
42.8831,-105.869,1.55926e+10,1.01338e+07,0,883.667,186.278,249.98,901.797
42.8832,-105.87,1.56097e+10,1.01344e+07,0,883.595,186.21,249.972,901.729
42.8833,-105.871,1.56268e+10,1.01351e+07,0,883.524,186.141,249.963,901.662
42.8833,-105.872,1.5644e+10,1.01357e+07,0,883.452,186.073,249.955,901.595
42.8834,-105.873,1.56612e+10,1.01364e+07,0,883.381,186.005,249.947,901.527
